Question,Title,QType,Q_1,Q_2,Q_3,Q_4,Q_5,Answers,Sources,Extra 1,Tags
Which one of the following choices is a true benefit to following agile practice,,2,Build the product all at once,Do all planning upfront,Build a product in increments,Have any strict change management process,0 0 1 0,lesson: 3 / question: 1,,
While following agile methodologies which of the following decisions would an manager make during an agile project.,,2,Allow stakeholders to request changes at any point,Allow the team to prioritize the features,Develop features that require less development time first,Develop features that require more development time first,1 0 0 0,lesson: 3 / question: 2,,
Which of the following is fixed on an agile project?,,2,Scope,Time,Customers,Features,0 1 0 0,lesson: 3 / question: 3,,
"In the agile manifesto, we value responding to change over?",,2,Processes and tools,Comprehensive documentation,Contract negotiation,Following a plan,0 0 0 1,lesson: 3 / question: 4,,
"While conducting an agile project, the agile project manager has implemented a new compute software that will allow this schedule to be auto-calculated. What agile value was not followed?",,2,Individuals and interactions over processes and tools,Working software over comprehensive documentation,Customer collaboration or contract negotiation,Working software over following a plan,1 0 0 0,lesson: 3 / question: 5,,
"When conducting an agile project, what is the primary method by which customers will measr the agile project progress?",,2,On a percentage scale,on cost scale,how much of the software is working,how much of the budget is left,0 0 1 0,lesson: 3 / question: 6,,
What is the primary output of the sprint planning meeting?,,2,Product backlog,Sprint backlog,Sprint register,Product register,0 1 0 0,lesson: 3 / question: 7,,
"After the team has completed prioritizing the features in the product backlog, the project manager has informed them of the following:",,2,They should have used a numerical scale,They should not have prioritized the features,They should have prioritized the features based on value,They should have prioritized the features based on costs,0 1 0 0,lesson: 3 / question: 8,,
Which of the following agile tools help all stakeholders to see the maximum amount of work the team will be doing in each phase of the development cycle?,,2,Kanban development,Lean development,XP programming,Verbal discussions,1 0 0 0,lesson: 3 / question: 9,,
Which of the following is an example of servant leadership?,,2,Dictating what processes the team should use when resolving problems,Holding individual team members accountable for issues,Continuously communicating the project vision,Communicating the methods the team should use when developing software,0 0 1 0,lesson: 3 / question: 10,,
"As an agile project manager, you have encountered many issues with the product owner.The product owner has refused to prioritize the product backlog, stating that all items are equally important. After educating the product owner about the value of prioritization, he still refuses. What should the agile project manager do?",,2,Continue to educate the product owner,Prioritize the product backlog for the product owner,Have the team prioritize the product backlog,Replace the product owner,1 0 0 0,lesson: 3 / question: 11,,
"After speaking with the outside application testers, the agile project manager has been informed that the application has passed the test and is ready to be installed into production. How should the agile project manager inform the team?",,2,Email them the test results,Tell them in person,Tell them in a conference call,Send it to them as a memo,0 1 0 0,lesson: 3 / question: 12,,
"When implementing Kanban development, which of the following should be d",,2,Create it using custom software on a large screen,Create it on a whiteboard with erasable markers,Only have the team create it using software,Only have the agile project manager create it using software,0 1 0 0,lesson: 3 / question: 13,,
The product owner has informed the project manager that all items in the product badd valuable and they should all get done. How should the agile project manager respond?*,,2,He should agree with the product owner and try to complete as much of the items as possible,He should educate the product owner on the benefits of prioritizing the product backlog ,He should inform the project team that all items should get done immediately,Should prioritize the items himself,0 1 0 0,lesson: 3 / question: 14,,
Where will the customers have the ability to give feedback on a completed increment of the product?,,2,Sprint planning meeting,Sprint retrospective,Sprint review meeting,Sprint product meeting,0 0 1 0,lesson: 3 / question: 15,,
"While discussing the benefits of agile with three of the organization's key stakeholders, what would be seen as the main benefit of conducting the project using agile methodology versus traditional methodology?",,2,Agile delivers value incrementally,Traditional delivers values all upfront,Traditional delivers value at the beginning,Agile project requires funding upfront,1 0 0 0,lesson: 3 / question: 16,,
Which of the following is an XP practice where programmers work together in order to writeone set of codes?,,2,Dual programming,Peer programming,Pair programming,Double programming,0 0 1 0,lesson: 3 / question: 17,,
Which of the following would be considered a waste on a project?,,2,Value-added features,Value-added processes,Completed work,Waiting,0 0 0 1,lesson: 3 / question: 18,,
"The product owner has added three new changes to the product backlog. The agile project manager has met with the team, and they have immediately decided how to implement these new changes, although these changes will be implemented three iterations from now. The product owner informs the agile project manager that he is not happy about this. What should the agile project manager do?",,2,Ask the team members to implement the change right away,Ask the product owner when he would like the changes to be implemented,Inform the product owner of the potential risk of each change,Tell the team they should not have committed to doing these changes until they were ready to implement them,0 0 0 1,lesson: 3 / question: 19,,
